n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
3,WFG3,r2,IGD+,0.26605874517110384,0
3,WFG3,r2,R2,0.6908425693685819,0
3,WFG3,s-energy,IGD+,0.2850565003166312,0
3,WFG3,s-energy,R2,0.434925585965243,0
3,WFG3,spd,IGD+,0.19384172970560196,0
3,WFG3,spd,R2,0.6785388382124116,0
3,WFG4,eps+,IGD+,0.12305349688966903,0
3,WFG4,eps+,R2,0.9969470249520146,0
3,WFG4,hv,IGD+,1.691449736656127e-11,1
3,WFG4,hv,R2,0.6080963595672313,0
3,WFG4,igd,IGD+,8.237843619900984e-05,1
3,WFG4,igd,R2,0.08834356500695562,0
3,WFG4,igd+,IGD+,1.1822225108337744e-09,1
3,WFG4,igd+,R2,0.8539126117487545,0
3,WFG4,r2,IGD+,0.01411752242401287,1
3,WFG4,r2,R2,0.5339495441675907,0
3,WFG4,s-energy,IGD+,0.007648797196019701,1
3,WFG4,s-energy,R2,0.18650609129830348,0
3,WFG4,spd,IGD+,0.0005037955197762197,1
3,WFG4,spd,R2,0.20712143955146944,0
3,WFG5,eps+,IGD+,0.9204429516526786,0
3,WFG5,eps+,R2,0.9971086553507686,0
3,WFG5,hv,IGD+,0.04119621211906387,1
3,WFG5,hv,R2,0.7548571919438822,0
3,WFG5,igd,IGD+,9.514891171033437e-07,1
3,WFG5,igd,R2,0.6025479610367797,0
3,WFG5,igd+,IGD+,8.767132258148404e-06,1
3,WFG5,igd+,R2,0.9108231844689929,0
3,WFG5,r2,IGD+,6.254322008639841e-07,1
3,WFG5,r2,R2,0.5921339011827489,0
3,WFG5,s-energy,IGD+,0.00010366576186811587,1
3,WFG5,s-energy,R2,0.11634772641639436,0
3,WFG5,spd,IGD+,0.00013798729571761043,1
3,WFG5,spd,R2,0.5591960538980929,0
3,WFG6,eps+,IGD+,3.2088197097714934e-05,1
3,WFG6,eps+,R2,0.19424086353870046,0
3,WFG6,hv,IGD+,7.387779584227074e-06,1
3,WFG6,hv,R2,0.403026961307766,0
3,WFG6,igd,IGD+,0.0005179706646987629,1
3,WFG6,igd,R2,0.08277915101294177,0
3,WFG6,igd+,IGD+,2.0538050433160578e-07,1
3,WFG6,igd+,R2,0.46378945505191305,0
3,WFG6,r2,IGD+,0.03526158737855813,1
3,WFG6,r2,R2,0.557419351756822,0
3,WFG6,s-energy,IGD+,0.08641559939090207,0
3,WFG6,s-energy,R2,0.6001951916963484,0
3,WFG6,spd,IGD+,0.08874022056347779,0
3,WFG6,spd,R2,0.1406745969249191,0
3,WFG7,eps+,IGD+,0.0634810284056652,0
3,WFG7,eps+,R2,0.806710732222931,0
3,WFG7,hv,IGD+,6.17444268671627e-12,1
3,WFG7,hv,R2,0.3272855605356312,0
3,WFG7,igd,IGD+,0.06854287728336993,0
3,WFG7,igd,R2,0.05872461258863666,0
3,WFG7,igd+,IGD+,1.3921048515477347e-11,1
3,WFG7,igd+,R2,0.34018672247171394,0
3,WFG7,r2,IGD+,0.1402211569276782,0
3,WFG7,r2,R2,0.2758338278517057,0
3,WFG7,s-energy,IGD+,0.0004968506835327324,1
3,WFG7,s-energy,R2,0.6658808123959619,0
3,WFG7,spd,IGD+,0.005664455252497805,1
3,WFG7,spd,R2,0.051574918260306614,0
3,WFG8,eps+,IGD+,5.5146515494612514e-11,1
3,WFG8,eps+,R2,0.5217741305904661,0
3,WFG8,hv,IGD+,2.711643386841415e-13,1
3,WFG8,hv,R2,0.6818599045122884,0
3,WFG8,igd,IGD+,3.506898803242151e-11,1
3,WFG8,igd,R2,0.013763274705734681,1
3,WFG8,igd+,IGD+,4.211095593336931e-14,1
3,WFG8,igd+,R2,0.8553611075384762,0
3,WFG8,r2,IGD+,0.2166426798038845,0
3,WFG8,r2,R2,0.3059989039785549,0
3,WFG8,s-energy,IGD+,0.09208689985050693,0
3,WFG8,s-energy,R2,0.8588227659591856,0
3,WFG8,spd,IGD+,0.035057721181985524,1
3,WFG8,spd,R2,0.3987038445967159,0
3,WFG9,eps+,IGD+,0.009303923180310921,1
3,WFG9,eps+,R2,0.9251619445306711,0
3,WFG9,hv,IGD+,1.7196517478996938e-07,1
3,WFG9,hv,R2,0.3017641593717477,0
3,WFG9,igd,IGD+,0.01255460898429737,1
3,WFG9,igd,R2,0.9310355524253546,0
3,WFG9,igd+,IGD+,3.809597234666789e-08,1
3,WFG9,igd+,R2,0.5141211715828506,0
3,WFG9,r2,IGD+,0.08921168384404195,0
3,WFG9,r2,R2,0.8138859460159567,0
3,WFG9,s-energy,IGD+,0.003715809193486546,1
3,WFG9,s-energy,R2,0.8820381450409969,0
3,WFG9,spd,IGD+,0.002952774979213961,1
3,WFG9,spd,R2,0.9740820663293575,0
4,DTLZ1,eps+,IGD+,0.07806416734828599,0
4,DTLZ1,eps+,R2,0.2546630914367433,0
4,DTLZ1,hv,IGD+,0.15704173975085411,0
4,DTLZ1,hv,R2,0.605761364604656,0
4,DTLZ1,igd,IGD+,0.6252848600900096,0
4,DTLZ1,igd,R2,0.29366472518806047,0
4,DTLZ1,igd+,IGD+,0.5564193263537409,0
4,DTLZ1,igd+,R2,0.471305702675731,0
4,DTLZ1,r2,IGD+,0.4729541794380312,0
4,DTLZ1,r2,R2,0.17633484742498054,0
4,DTLZ1,s-energy,IGD+,0.49125109121481536,0
4,DTLZ1,s-energy,R2,0.56868154082717,0
4,DTLZ1,spd,IGD+,0.3140179571057939,0
4,DTLZ1,spd,R2,0.6678436005308571,0
4,DTLZ2,eps+,IGD+,0.03445262774978486,1
4,DTLZ2,eps+,R2,0.5634188329382535,0
4,DTLZ2,hv,IGD+,3.498231649427178e-10,1
4,DTLZ2,hv,R2,0.8899601485730372,0
4,DTLZ2,igd,IGD+,1.1323052839467343e-07,1
4,DTLZ2,igd,R2,0.45821186822779936,0
4,DTLZ2,igd+,IGD+,7.934315685356947e-10,1
4,DTLZ2,igd+,R2,0.7458695993863216,0
4,DTLZ2,r2,IGD+,0.0024534903023515587,1
4,DTLZ2,r2,R2,0.31793872200602924,0
4,DTLZ2,s-energy,IGD+,5.723675426271551e-15,1
