n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,igd,R2,0.001,nan,8.772564e-01,9.903831e-01,9.997587e-01,9.984236e-01,9.999332e-01,9.994917e-01,9.800053e-01,9.996462e-01,8.158617e-01,8.441029e-01
2,DTLZ1,igd,R2,0.1,1.305494e-01,nan,9.866791e-01,9.997587e-01,9.975700e-01,9.999590e-01,9.995747e-01,9.892578e-01,9.999475e-01,7.147017e-01,5.363607e-01
2,DTLZ1,igd,R2,0.2,1.074219e-02,1.478767e-02,nan,9.473009e-01,7.625475e-01,8.613224e-01,7.847834e-01,3.920631e-01,7.738123e-01,2.202702e-02,2.422047e-02
2,DTLZ1,igd,R2,0.3,2.927780e-04,2.927780e-04,5.699348e-02,nan,4.781647e-01,5.508413e-01,3.238277e-01,3.186131e-02,3.505907e-01,2.412796e-04,2.429962e-03
2,DTLZ1,igd,R2,0.4,1.827240e-03,2.790451e-03,2.490044e-01,5.363607e-01,nan,6.219168e-01,4.204111e-01,1.744051e-01,4.347439e-01,1.074219e-02,3.186131e-02
2,DTLZ1,igd,R2,0.5,8.392334e-05,5.245209e-05,1.471262e-01,4.636393e-01,3.920631e-01,nan,2.490044e-01,6.636333e-02,3.505907e-01,5.245209e-05,1.827240e-03
2,DTLZ1,igd,R2,0.6,6.046295e-04,5.083084e-04,2.261877e-01,6.892433e-01,5.938225e-01,7.625475e-01,nan,2.152166e-01,5.072823e-01,2.110481e-03,4.154205e-03
2,DTLZ1,igd,R2,0.7,2.202702e-02,1.197529e-02,6.219168e-01,9.708710e-01,8.350086e-01,9.384537e-01,7.954512e-01,nan,8.919163e-01,3.186131e-02,2.202702e-02
2,DTLZ1,igd,R2,0.8,4.253387e-04,6.675720e-05,2.374525e-01,6.628885e-01,5.795889e-01,6.628885e-01,5.072823e-01,1.152563e-01,nan,2.790451e-03,1.827240e-03
2,DTLZ1,igd,R2,0.9,1.941881e-01,2.979097e-01,9.800053e-01,9.998026e-01,9.903831e-01,9.999590e-01,9.981728e-01,9.708710e-01,9.975700e-01,nan,4.347439e-01
2,DTLZ1,igd,R2,0.999,1.649914e-01,4.781647e-01,9.779730e-01,9.978895e-01,9.708710e-01,9.984236e-01,9.963522e-01,9.800053e-01,9.984236e-01,5.795889e-01,nan
2,DTLZ1,igd+,EPS+,0.001,nan,4.347439e-01,6.892433e-01,6.219168e-01,7.954512e-01,4.204111e-01,7.954512e-01,5.072823e-01,7.147017e-01,6.079369e-01,5.218353e-01
2,DTLZ1,igd+,EPS+,0.1,5.795889e-01,nan,7.954512e-01,7.738123e-01,8.919163e-01,5.072823e-01,8.528738e-01,6.494093e-01,6.219168e-01,6.357470e-01,6.219168e-01
2,DTLZ1,igd+,EPS+,0.2,3.238277e-01,2.152166e-01,nan,1.841383e-01,4.781647e-01,2.152166e-01,5.363607e-01,1.841383e-01,4.491587e-01,2.729378e-01,3.238277e-01
2,DTLZ1,igd+,EPS+,0.3,3.920631e-01,2.374525e-01,8.255949e-01,nan,7.847834e-01,3.107567e-01,8.528738e-01,1.841383e-01,6.357470e-01,4.347439e-01,5.218353e-01
2,DTLZ1,igd+,EPS+,0.4,2.152166e-01,1.152563e-01,5.363607e-01,2.261877e-01,nan,1.558971e-01,5.218353e-01,8.842659e-02,2.979097e-01,2.152166e-01,2.152166e-01
2,DTLZ1,igd+,EPS+,0.5,5.938225e-01,5.072823e-01,7.954512e-01,7.020903e-01,8.528738e-01,nan,9.053259e-01,7.147017e-01,7.847834e-01,7.625475e-01,5.508413e-01
