hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
IGD+,WFG8,4,eps+,1.0
R2,WFG8,4,eps+,0.0
IGD+,WFG8,4,hv,1.0
R2,WFG8,4,hv,0.0
IGD+,WFG8,4,igd,1.0
R2,WFG8,4,igd,0.0
IGD+,WFG8,4,igd+,1.0
R2,WFG8,4,igd+,0.0
IGD+,WFG8,4,r2,0.0
R2,WFG8,4,r2,0.0
IGD+,WFG8,4,s-energy,0.0
R2,WFG8,4,s-energy,0.0
IGD+,WFG8,4,spd,0.0
R2,WFG8,4,spd,0.0
IGD+,WFG9,4,eps+,1.0
R2,WFG9,4,eps+,0.0
IGD+,WFG9,4,hv,1.0
R2,WFG9,4,hv,0.0
IGD+,WFG9,4,igd,1.0
R2,WFG9,4,igd,0.0
IGD+,WFG9,4,igd+,1.0
R2,WFG9,4,igd+,0.0
IGD+,WFG9,4,r2,1.0
R2,WFG9,4,r2,0.0
IGD+,WFG9,4,s-energy,1.0
R2,WFG9,4,s-energy,0.0
IGD+,WFG9,4,spd,0.0
R2,WFG9,4,spd,0.0
IGD+,DTLZ1,5,eps+,0.0
R2,DTLZ1,5,eps+,1.0
IGD+,DTLZ1,5,hv,0.0
R2,DTLZ1,5,hv,0.0
IGD+,DTLZ1,5,igd,1.0
R2,DTLZ1,5,igd,0.0
IGD+,DTLZ1,5,igd+,0.0
R2,DTLZ1,5,igd+,0.0
IGD+,DTLZ1,5,r2,0.0
R2,DTLZ1,5,r2,0.0
IGD+,DTLZ1,5,s-energy,0.0
R2,DTLZ1,5,s-energy,0.0
IGD+,DTLZ1,5,spd,0.0
R2,DTLZ1,5,spd,0.0
IGD+,DTLZ2,5,eps+,1.0
R2,DTLZ2,5,eps+,0.0
IGD+,DTLZ2,5,hv,1.0
R2,DTLZ2,5,hv,0.0
IGD+,DTLZ2,5,igd,1.0
R2,DTLZ2,5,igd,0.0
IGD+,DTLZ2,5,igd+,1.0
R2,DTLZ2,5,igd+,0.0
IGD+,DTLZ2,5,r2,1.0
R2,DTLZ2,5,r2,0.0
IGD+,DTLZ2,5,s-energy,1.0
R2,DTLZ2,5,s-energy,0.0
IGD+,DTLZ2,5,spd,1.0
R2,DTLZ2,5,spd,0.0
IGD+,DTLZ3,5,eps+,1.0
R2,DTLZ3,5,eps+,0.0
IGD+,DTLZ3,5,hv,1.0
R2,DTLZ3,5,hv,0.0
IGD+,DTLZ3,5,igd,0.0
R2,DTLZ3,5,igd,0.0
IGD+,DTLZ3,5,igd+,1.0
